Loads__Powers__commercial (kWh),Loads__Powers__residential (kWh),PVSystems__Powers__commercial (kWh),PVSystems__Powers__residential (kWh),Circuits__TotalPower (kWh),Circuits__Losses (kWh),PVSystems__Curtailment__commercial (kWh),PVSystems__Curtailment__residential (kWh)
0.013398,0.095945,0.013398,0.095945,0.000184545,0.000184545,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.00143,0.00143,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.000128333,0.000128333,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,-0.0011525,-0.0011525,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,-0.002714167,-0.002714167,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.001073333,0.001073333,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,-0.002860833,-0.002860833,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.0022775,0.0022775,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.004805,0.004805,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.014109167,0.014109167,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.016590833,0.016590833,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.01875,0.01875,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.018714167,0.018714167,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.017215,0.017215,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.0157225,0.0157225,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.0114525,0.0114525,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.011201667,0.011201667,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.001318333,0.001318333,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,-0.002600833,-0.002600833,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,-0.003900833,-0.003900833,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.006201667,0.006201667,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.008604167,0.008604167,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.009320833,0.009320833,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.008675833,0.008675833,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.004554167,0.004554167,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.004555,0.004555,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.011279167,0.011279167,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.010776667,0.010776667,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.0038225,0.0038225,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.007295833,0.007295833,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.015255833,0.015255833,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.008071667,0.008071667,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.003714167,0.003714167,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.001529167,0.001529167,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.017495833,0.017495833,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.019346667,0.019346667,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.021215833,0.021215833,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.021115,0.021115,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.02114,0.02114,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.0194925,0.0194925,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.020705833,0.020705833,0.013398,0.095945
0.013398,0.095945,0.013398,0.095945,0.042485,0.042485,0.013398,0.095945
